experiment_id,aging,stage,stage_name,level,form_factor,mechanical_source_name,dt_s,t_start_s,t_end_s,window_start_index,rapid_anchor_s,peak_anchor_s
B2,fresh,2,post_peak,cell,2170,pressure,1.0,3329.0,3584.0,3328,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,3393.0,3648.0,3392,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,3457.0,3712.0,3456,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,3521.0,3776.0,3520,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,3585.0,3840.0,3584,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,3649.0,3904.0,3648,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,3713.0,3968.0,3712,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,3777.0,4032.0,3776,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,3841.0,4096.0,3840,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,3905.0,4160.0,3904,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,3969.0,4224.0,3968,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,4033.0,4288.0,4032,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,4097.0,4352.0,4096,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,4161.0,4416.0,4160,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,4225.0,4480.0,4224,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,4289.0,4544.0,4288,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,4353.0,4608.0,4352,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,4417.0,4672.0,4416,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,4481.0,4736.0,4480,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,4545.0,4800.0,4544,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,4609.0,4864.0,4608,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,4673.0,4928.0,4672,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,4737.0,4992.0,4736,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,4801.0,5056.0,4800,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,4865.0,5120.0,4864,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,4929.0,5184.0,4928,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,4993.0,5248.0,4992,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,5057.0,5312.0,5056,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,5121.0,5376.0,5120,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,5185.0,5440.0,5184,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,5249.0,5504.0,5248,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,5313.0,5568.0,5312,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,5377.0,5632.0,5376,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,5441.0,5696.0,5440,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,5505.0,5760.0,5504,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,5569.0,5824.0,5568,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,5633.0,5888.0,5632,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,5697.0,5952.0,5696,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,5761.0,6016.0,5760,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,5825.0,6080.0,5824,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,5889.0,6144.0,5888,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,5953.0,6208.0,5952,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,6017.0,6272.0,6016,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,6081.0,6336.0,6080,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,6145.0,6400.0,6144,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,6209.0,6464.0,6208,1428.0,1437.0
B2,fresh,2,post_peak,cell,2170,pressure,1.0,6273.0,6528.0,6272,1428.0,1437.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,1.0,256.0,0,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,65.0,320.0,64,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,129.0,384.0,128,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,193.0,448.0,192,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,257.0,512.0,256,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,321.0,576.0,320,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,385.0,640.0,384,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,449.0,704.0,448,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,513.0,768.0,512,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,577.0,832.0,576,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,641.0,896.0,640,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,705.0,960.0,704,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,769.0,1024.0,768,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,833.0,1088.0,832,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,897.0,1152.0,896,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,961.0,1216.0,960,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,1025.0,1280.0,1024,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,1089.0,1344.0,1088,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,1153.0,1408.0,1152,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,1217.0,1472.0,1216,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,1281.0,1536.0,1280,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,1345.0,1600.0,1344,1621.0,1633.0
C1,aged,0,pre_rapid,cell,2170,pressure,1.0,1409.0,1664.0,1408,1621.0,1633.0
C1,aged,1,rapid_peak,cell,2170,pressure,1.0,1473.0,1728.0,1472,1621.0,1633.0
C1,aged,1,rapid_peak,cell,2170,pressure,1.0,1537.0,1792.0,1536,1621.0,1633.0
C1,aged,2,post_peak,cell,2170,pressure,1.0,1601.0,1856.0,1600,1621.0,1633.0
C1,aged,2,post_peak,cell,2170,pressure,1.0,1665.0,1920.0,1664,1621.0,1633.0
C1,aged,2,post_peak,cell,2170,pressure,1.0,1729.0,1984.0,1728,1621.0,1633.0
C1,aged,2,post_peak,cell,2170,pressure,1.0,1793.0,2048.0,1792,1621.0,1633.0
C1,aged,2,post_peak,cell,2170,pressure,1.0,1857.0,2112.0,1856,1621.0,1633.0
C1,aged,2,post_peak,cell,2170,pressure,1.0,1921.0,2176.0,1920,1621.0,1633.0
C1,aged,2,post_peak,cell,2170,pressure,1.0,1985.0,2240.0,1984,1621.0,1633.0
C1,aged,2,post_peak,cell,2170,pressure,1.0,2049.0,2304.0,2048,1621.0,1633.0
C1,aged,2,post_peak,cell,2170,pressure,1.0,2113.0,2368.0,2112,1621.0,1633.0
C1,aged,2,post_peak,cell,2170,pressure,1.0,2177.0,2432.0,2176,1621.0,1633.0
C1,aged,2,post_peak,cell,2170,pressure,1.0,2241.0,2496.0,2240,1621.0,1633.0
C1,aged,2,post_peak,cell,2170,pressure,1.0,2305.0,2560.0,2304,1621.0,1633.0
C1,aged,2,post_peak,cell,2170,pressure,1.0,2369.0,2624.0,2368,1621.0,1633.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,1.0,256.0,0,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,65.0,320.0,64,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,129.0,384.0,128,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,193.0,448.0,192,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,257.0,512.0,256,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,321.0,576.0,320,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,385.0,640.0,384,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,449.0,704.0,448,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,513.0,768.0,512,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,577.0,832.0,576,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,641.0,896.0,640,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,705.0,960.0,704,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,769.0,1024.0,768,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,833.0,1088.0,832,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,897.0,1152.0,896,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,961.0,1216.0,960,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,1025.0,1280.0,1024,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,1089.0,1344.0,1088,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,1153.0,1408.0,1152,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,1217.0,1472.0,1216,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,1281.0,1536.0,1280,1601.0,1608.0
C2,aged,0,pre_rapid,cell,2170,pressure,1.0,1345.0,1600.0,1344,1601.0,1608.0
C2,aged,1,rapid_peak,cell,2170,pressure,1.0,1409.0,1664.0,1408,1601.0,1608.0
C2,aged,1,rapid_peak,cell,2170,pressure,1.0,1473.0,1728.0,1472,1601.0,1608.0
C2,aged,1,rapid_peak,cell,2170,pressure,1.0,1537.0,1792.0,1536,1601.0,1608.0
C2,aged,2,post_peak,cell,2170,pressure,1.0,1601.0,1856.0,1600,1601.0,1608.0
C2,aged,2,post_peak,cell,2170,pressure,1.0,1665.0,1920.0,1664,1601.0,1608.0
C2,aged,2,post_peak,cell,2170,pressure,1.0,1729.0,1984.0,1728,1601.0,1608.0
C2,aged,2,post_peak,cell,2170,pressure,1.0,1793.0,2048.0,1792,1601.0,1608.0
C2,aged,2,post_peak,cell,2170,pressure,1.0,1857.0,2112.0,1856,1601.0,1608.0
C2,aged,2,post_peak,cell,2170,pressure,1.0,1921.0,2176.0,1920,1601.0,1608.0
C2,aged,2,post_peak,cell,2170,pressure,1.0,1985.0,2240.0,1984,1601.0,1608.0
C2,aged,2,post_peak,cell,2170,pressure,1.0,2049.0,2304.0,2048,1601.0,1608.0
C2,aged,2,post_peak,cell,2170,pressure,1.0,2113.0,2368.0,2112,1601.0,1608.0
C2,aged,2,post_peak,cell,2170,pressure,1.0,2177.0,2432.0,2176,1601.0,1608.0
C2,aged,2,post_peak,cell,2170,pressure,1.0,2241.0,2496.0,2240,1601.0,1608.0
C2,aged,2,post_peak,cell,2170,pressure,1.0,2305.0,2560.0,2304,1601.0,1608.0
