experiment_id,aging,run_id,stage,stage_name,t_start_s,t_end_s,rapid_anchor_s,peak_anchor_s
M1,fresh,0,2,post_peak,3521,3776,2608,2617
M1,fresh,0,2,post_peak,3585,3840,2608,2617
M1,fresh,0,2,post_peak,3649,3904,2608,2617
M1,fresh,0,2,post_peak,3713,3968,2608,2617
M1,fresh,0,2,post_peak,3777,4032,2608,2617
M1,fresh,0,2,post_peak,3841,4096,2608,2617
M1,fresh,0,2,post_peak,3905,4160,2608,2617
M1,fresh,0,2,post_peak,3969,4224,2608,2617
M1,fresh,0,2,post_peak,4033,4288,2608,2617
M1,fresh,0,2,post_peak,4097,4352,2608,2617
M2,aged,0,0,pre_rapid,1,256,2581,2601
M2,aged,0,0,pre_rapid,65,320,2581,2601
M2,aged,0,0,pre_rapid,129,384,2581,2601
M2,aged,0,0,pre_rapid,193,448,2581,2601
M2,aged,0,0,pre_rapid,257,512,2581,2601
M2,aged,0,0,pre_rapid,321,576,2581,2601
M2,aged,0,0,pre_rapid,385,640,2581,2601
M2,aged,0,0,pre_rapid,449,704,2581,2601
M2,aged,0,0,pre_rapid,513,768,2581,2601
M2,aged,0,0,pre_rapid,577,832,2581,2601
M2,aged,0,0,pre_rapid,641,896,2581,2601
M2,aged,0,0,pre_rapid,705,960,2581,2601
M2,aged,0,0,pre_rapid,769,1024,2581,2601
M2,aged,0,0,pre_rapid,833,1088,2581,2601
M2,aged,0,0,pre_rapid,897,1152,2581,2601
M2,aged,0,0,pre_rapid,961,1216,2581,2601
M2,aged,0,0,pre_rapid,1025,1280,2581,2601
M2,aged,0,0,pre_rapid,1089,1344,2581,2601
M2,aged,0,0,pre_rapid,1153,1408,2581,2601
M2,aged,0,0,pre_rapid,1217,1472,2581,2601
M2,aged,0,0,pre_rapid,1281,1536,2581,2601
M2,aged,0,0,pre_rapid,1345,1600,2581,2601
M2,aged,0,0,pre_rapid,1409,1664,2581,2601
M2,aged,0,0,pre_rapid,1473,1728,2581,2601
M2,aged,0,0,pre_rapid,1537,1792,2581,2601
M2,aged,0,0,pre_rapid,1601,1856,2581,2601
M2,aged,0,0,pre_rapid,1665,1920,2581,2601
M2,aged,0,0,pre_rapid,1729,1984,2581,2601
M2,aged,0,0,pre_rapid,1793,2048,2581,2601
M2,aged,0,0,pre_rapid,1857,2112,2581,2601
M2,aged,0,0,pre_rapid,1921,2176,2581,2601
M2,aged,0,0,pre_rapid,1985,2240,2581,2601
M2,aged,0,0,pre_rapid,2049,2304,2581,2601
M2,aged,0,0,pre_rapid,2113,2368,2581,2601
M2,aged,0,0,pre_rapid,2177,2432,2581,2601
M2,aged,0,0,pre_rapid,2241,2496,2581,2601
M2,aged,0,0,pre_rapid,2305,2560,2581,2601
M2,aged,0,0,pre_rapid,2369,2624,2581,2601
M2,aged,0,1,rapid_peak,2433,2688,2581,2601
M2,aged,0,1,rapid_peak,2497,2752,2581,2601
M2,aged,0,2,post_peak,2561,2816,2581,2601
M2,aged,0,2,post_peak,2625,2880,2581,2601
M2,aged,0,2,post_peak,2689,2944,2581,2601
M2,aged,0,2,post_peak,2753,3008,2581,2601
M2,aged,0,2,post_peak,2817,3072,2581,2601
M2,aged,0,2,post_peak,2881,3136,2581,2601
M2,aged,0,2,post_peak,2945,3200,2581,2601
M2,aged,0,2,post_peak,3009,3264,2581,2601
M2,aged,0,2,post_peak,3073,3328,2581,2601
M2,aged,0,2,post_peak,3137,3392,2581,2601
M2,aged,0,2,post_peak,3201,3456,2581,2601
M2,aged,0,2,post_peak,3265,3520,2581,2601
M2,aged,0,2,post_peak,3329,3584,2581,2601
M2,aged,0,2,post_peak,3393,3648,2581,2601
M2,aged,0,2,post_peak,3457,3712,2581,2601
M2,aged,0,2,post_peak,3521,3776,2581,2601
M2,aged,0,2,post_peak,3585,3840,2581,2601
