candidate,age,stage,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,feature_z_max,nearest_real_distance,max_abs_normalized
85,0,0,0,0,1,0,0,297.9568176269531,2.3573038578033447,15.83816146850586
86,0,2,0,0,1,0,0,12.762635231018066,1.9367060661315918,5.47646427154541
87,1,0,0,0,1,0,0,4045.212158203125,77.17063903808594,203.25608825683594
88,0,1,0,0,1,0,0,283.7305603027344,18.825353622436523,59.15128707885742
89,0,1,0,0,1,0,0,656.8910522460938,38.21055603027344,86.9622802734375
90,0,1,0,0,1,0,0,261.0246887207031,10.226113319396973,45.76468276977539
91,0,1,0,0,1,0,0,6.196907043457031,1.3857985734939575,4.199642181396484
92,0,2,0,0,1,0,0,286.20587158203125,8.927579879760742,23.1864070892334
93,1,1,0,0,1,0,0,227.41033935546875,27.164430618286133,91.6802978515625
94,1,0,0,0,1,0,0,3667.21044921875,45.9007453918457,184.3560028076172
95,0,1,0,0,1,0,0,449.1455993652344,38.46525192260742,134.06082153320312
96,0,1,0,0,1,0,0,327.5627136230469,16.842872619628906,43.81525421142578
97,1,2,0,0,1,0,0,455.8661804199219,36.208003997802734,111.28012084960938
98,1,2,0,0,1,0,0,133.4029998779297,13.496763229370117,76.50440979003906
99,0,0,0,0,1,0,0,100.3114242553711,4.313398838043213,12.03966236114502
100,0,1,0,0,1,0,0,49.06900405883789,4.911910057067871,23.373416900634766
101,0,1,0,0,1,0,0,529.052490234375,45.04465103149414,171.6661834716797
102,0,2,0,0,1,0,0,236.00694274902344,6.971469879150391,20.074630737304688
103,1,1,0,0,1,0,0,448.25714111328125,64.59368896484375,209.4904327392578
104,0,1,0,0,1,0,0,139.3843536376953,10.06557559967041,35.66056823730469
105,0,0,0,0,1,0,0,1578.9495849609375,28.300268173217773,79.88780212402344
106,0,0,0,0,1,0,0,897.531982421875,22.70134735107422,55.830299377441406
107,1,0,0,0,1,0,0,1065.60791015625,21.148775100708008,54.275882720947266
108,1,2,0,0,1,0,0,807.5155029296875,15.011178016662598,72.97137451171875
109,1,0,0,0,1,0,0,3221.606201171875,77.26886749267578,162.07579040527344
110,1,1,0,0,1,0,0,458.1795959472656,42.38219451904297,214.94696044921875
111,1,0,0,0,1,0,1,11.243229866027832,0.8917026519775391,2.130242109298706
112,0,2,0,0,1,0,0,591.7388916015625,7.2999725341796875,28.21056365966797
113,0,0,0,0,1,0,0,1317.4615478515625,17.62041473388672,66.81340026855469
114,1,2,0,0,1,0,0,80.38105773925781,5.815947532653809,13.42014217376709
115,0,1,0,0,1,1,0,5.133988857269287,0.526801347732544,5.27231502532959
116,0,0,0,0,1,0,0,1337.8258056640625,18.462509155273438,67.83161163330078
117,1,2,0,0,1,0,0,475.4865417480469,31.120399475097656,79.36318969726562
118,0,0,0,0,1,0,0,1756.894775390625,28.959434509277344,88.78506469726562
119,1,0,0,0,1,0,0,7580.24853515625,61.92280960083008,380.0079040527344
120,1,1,0,0,1,0,0,202.25250244140625,20.110347747802734,51.72383117675781
121,1,2,0,0,1,0,0,1056.1163330078125,55.14594268798828,203.96188354492188
122,1,0,0,0,1,0,0,2886.29541015625,34.45093536376953,145.3102569580078
123,1,1,0,0,1,0,0,243.40171813964844,28.446813583374023,110.03614807128906
124,1,1,0,0,1,0,0,165.8064422607422,22.235645294189453,95.13616180419922
125,1,0,0,0,1,0,0,1119.0611572265625,11.443955421447754,56.94854736328125
126,0,0,0,0,1,0,0,2211.93115234375,66.62229919433594,153.13670349121094
127,1,2,0,0,1,0,0,552.8776245117188,29.102102279663086,138.8350067138672
128,0,0,0,0,1,0,0,667.9099731445312,7.432003974914551,34.335819244384766
129,0,0,0,0,1,0,0,267.8719482421875,7.953120708465576,18.387527465820312
130,1,0,0,0,1,0,0,725.2774047851562,13.251788139343262,37.25935745239258
131,0,2,0,0,1,0,0,347.23052978515625,12.617573738098145,26.804197311401367
132,0,2,0,0,1,0,0,486.88641357421875,15.205190658569336,43.59315872192383
133,0,2,0,0,1,0,0,1543.9625244140625,51.17140579223633,136.0339813232422
134,1,0,0,0,1,0,0,311.2898864746094,3.990473508834839,16.559980392456055
135,1,2,0,0,1,0,0,143.419677734375,10.4920072555542,24.46963882446289
136,1,1,0,0,1,0,0,42.22771453857422,6.426082134246826,34.210933685302734
137,0,1,0,0,1,0,0,237.60740661621094,21.579748153686523,47.239200592041016
138,1,1,0,0,1,0,0,123.91227722167969,12.106562614440918,27.56621551513672
139,0,2,0,0,1,0,0,229.8818359375,3.611969470977783,27.20166778564453
140,0,1,0,0,1,0,0,531.39111328125,39.144046783447266,86.67334747314453
141,0,1,0,0,1,0,0,36.68231964111328,4.248527526855469,19.53961181640625
142,1,2,0,0,1,0,0,13.263565063476562,1.8501429557800293,12.193974494934082
143,0,2,0,0,1,0,0,134.26193237304688,3.531341314315796,11.515510559082031
144,1,2,1,1,1,1,1,4.10313606262207,0.28104597330093384,1.439399242401123
145,1,1,0,0,1,0,0,148.32835388183594,17.257137298583984,62.64426803588867
146,1,1,0,0,1,0,0,368.88214111328125,34.27151870727539,103.52984619140625
147,0,1,0,0,1,0,0,40.58635330200195,3.022357940673828,9.73556137084961
148,0,1,0,0,1,0,0,94.51979064941406,9.326028823852539,31.073488235473633
149,0,1,0,0,1,0,0,141.8863525390625,8.36298942565918,29.073091506958008
150,0,2,0,0,1,0,1,23.705049514770508,1.5074607133865356,3.37326979637146
151,1,2,0,0,1,0,0,248.3333282470703,15.178635597229004,41.812782287597656
152,0,0,0,0,1,0,0,1392.7581787109375,16.772823333740234,70.57823181152344
153,1,0,0,0,1,0,0,1563.645263671875,15.065555572509766,79.17774963378906
154,0,2,0,0,1,0,0,382.69964599609375,10.502519607543945,30.037961959838867
155,1,2,0,0,1,0,0,56.16428756713867,4.804349899291992,14.986278533935547
156,1,1,0,0,1,0,0,323.2852783203125,22.792757034301758,66.17452239990234
157,0,1,0,0,1,0,0,323.377685546875,35.91707992553711,96.38654327392578
158,0,0,0,0,1,0,0,370.69366455078125,8.265378952026367,61.876686096191406
159,0,1,0,0,1,0,0,140.0774688720703,9.801522254943848,49.77510452270508
160,1,2,0,0,1,0,0,554.6288452148438,25.176982879638672,92.44610595703125
161,0,2,0,0,1,0,1,11.00461483001709,0.7717101573944092,2.0694284439086914
162,1,2,0,0,1,0,0,96.45018005371094,5.902538776397705,16.705171585083008
163,1,0,0,0,1,0,0,4466.1826171875,83.09833526611328,224.3046112060547
164,1,0,0,0,1,0,0,3767.490478515625,50.49675369262695,189.37001037597656
165,1,1,0,0,1,0,0,311.7120666503906,36.02487564086914,105.63384246826172
166,0,0,0,0,1,0,0,94.47333526611328,3.1114070415496826,24.759536743164062
167,0,2,0,0,1,0,0,1205.6680908203125,32.58811569213867,89.49657440185547
168,1,0,0,0,1,0,0,1536.2965087890625,13.921041488647461,77.81031036376953
169,0,0,0,0,1,0,0,1765.1644287109375,49.738197326660156,108.90526580810547
170,1,2,0,0,1,0,0,372.4793395996094,12.176290512084961,92.93856048583984
171,0,2,0,0,1,0,0,710.8318481445312,19.004304885864258,43.16794204711914
172,0,1,0,0,1,0,0,97.76988220214844,5.755618095397949,13.708897590637207
173,1,0,0,0,1,0,0,2775.089599609375,51.74812316894531,139.74996948242188
174,1,2,0,0,1,0,0,10.488037109375,1.318585753440857,5.949828624725342
175,1,1,0,0,1,0,0,105.71621704101562,11.98594856262207,34.7985725402832
176,0,0,0,0,1,0,0,923.6870727539062,25.584030151367188,54.220638275146484
177,1,1,0,0,1,0,0,176.51730346679688,25.015785217285156,97.12137603759766
178,1,1,0,0,1,0,0,451.321044921875,52.496639251708984,205.41009521484375
179,1,2,0,0,1,0,0,343.2179260253906,23.478256225585938,55.05400848388672
180,0,2,0,0,1,0,0,5764.6162109375,43.90975570678711,199.65057373046875
181,0,0,0,0,1,0,0,1015.0568237304688,13.229249954223633,51.69316101074219
182,1,0,0,0,1,0,0,808.3771362304688,41.38191223144531,99.25359344482422
183,0,1,0,0,1,0,0,152.7679443359375,12.273234367370605,29.512081146240234
184,1,2,0,0,1,0,0,1233.2672119140625,75.59036254882812,193.86500549316406
185,0,2,0,0,1,0,0,1032.781494140625,38.92418670654297,106.96623992919922
186,1,2,0,0,1,0,0,273.4635009765625,13.63183307647705,40.96483612060547
187,0,2,0,0,1,0,0,3004.850830078125,72.6895523071289,200.24380493164062
188,1,1,0,0,1,0,0,256.2975158691406,30.416223526000977,120.29383087158203
189,0,2,0,0,1,0,0,785.1456298828125,30.250425338745117,70.16451263427734
190,0,1,0,0,1,0,0,114.79735565185547,10.958755493164062,25.907978057861328
191,1,0,0,0,1,0,0,1093.22265625,23.805171966552734,55.65662384033203
192,0,1,0,0,1,0,0,37.5816764831543,3.148592233657837,17.676881790161133
193,0,2,0,0,1,0,0,493.1045837402344,19.873062133789062,57.747711181640625
194,0,0,0,0,1,0,0,207.19996643066406,8.963872909545898,20.062646865844727
195,1,0,0,0,1,0,0,1074.192138671875,10.374652862548828,54.70509338378906
196,0,1,0,0,1,0,0,583.4361572265625,49.55256652832031,142.4336395263672
197,1,1,0,0,1,0,0,194.0025634765625,22.339052200317383,69.64107513427734
198,1,0,0,0,1,0,0,1259.101806640625,21.148122787475586,63.95058059692383
199,0,2,0,0,1,0,0,461.1709899902344,13.730317115783691,48.284034729003906
200,0,1,0,0,1,0,0,180.49826049804688,11.806009292602539,29.64274787902832
201,1,2,0,0,1,0,0,234.91343688964844,6.542313098907471,36.46263122558594
202,0,0,0,0,1,0,0,1775.3350830078125,38.207252502441406,89.70707702636719
203,1,1,0,0,1,0,0,127.41846466064453,9.012601852416992,29.14462661743164
204,1,0,0,0,1,0,0,888.6279296875,19.327762603759766,45.426883697509766
205,0,0,0,0,1,0,0,40.139739990234375,1.363820195198059,4.588944911956787
206,0,2,0,0,1,0,0,1721.20654296875,69.64454650878906,159.15585327148438
207,0,0,0,0,1,1,0,6.556881904602051,1.0101274251937866,4.018752574920654
208,1,2,0,0,1,0,0,204.98538208007812,13.97294807434082,34.60525131225586
209,0,2,0,0,1,0,0,858.7998657226562,24.637990951538086,88.78411865234375
210,1,2,1,1,1,1,1,2.2345685958862305,0.3154277503490448,0.39172130823135376
211,0,2,0,0,1,0,1,11.007822036743164,1.2980865240097046,2.9721827507019043
212,1,1,0,0,1,0,0,455.8624267578125,56.574859619140625,148.72244262695312
213,1,0,0,0,1,0,0,1525.666015625,24.41352653503418,77.2787857055664
214,0,1,0,0,1,0,0,179.98995971679688,14.613210678100586,55.719120025634766
215,1,2,0,0,1,0,0,636.0829467773438,29.06003189086914,72.14940643310547
216,0,0,0,0,1,0,0,1899.16015625,42.801273345947266,95.89833068847656
217,1,1,0,0,1,0,0,191.0973358154297,21.57712173461914,76.19326782226562
218,1,1,0,0,1,0,0,206.96966552734375,21.56365394592285,65.20002746582031
219,0,2,0,0,1,0,0,469.1418762207031,8.446521759033203,48.51993942260742
220,1,0,0,0,1,0,0,122.5715103149414,4.779224395751953,18.764434814453125
221,0,0,0,0,1,0,0,3481.839599609375,62.616764068603516,185.6737518310547
222,1,0,0,0,1,0,0,3030.605712890625,54.1918830871582,152.52577209472656
223,1,0,0,0,1,0,0,311.3961181640625,4.558183670043945,16.565292358398438
224,0,2,0,0,1,0,0,1482.33447265625,34.45195388793945,85.70027923583984
225,0,1,0,0,1,0,0,111.5051040649414,5.902898788452148,19.603517532348633
226,0,1,0,0,1,0,0,193.33145141601562,9.904862403869629,28.749296188354492
227,0,2,0,0,1,0,0,836.569580078125,25.102685928344727,63.15718460083008
228,1,1,0,0,1,0,0,47.81825256347656,7.12569522857666,54.38924789428711
229,0,0,0,0,1,0,0,2962.904296875,44.24585723876953,149.08554077148438
230,0,0,0,0,1,0,0,1669.4517822265625,25.328205108642578,84.41291046142578
231,1,1,0,0,1,0,0,8.153606414794922,1.2909221649169922,7.036998748779297
232,1,1,0,0,1,0,0,280.29449462890625,29.80570411682129,97.5748291015625
233,0,0,0,0,1,0,0,42.18906021118164,6.022582054138184,14.48338508605957
234,0,0,0,0,1,0,0,3643.282958984375,36.961456298828125,183.10447692871094
235,1,1,0,0,1,0,0,334.7889099121094,37.168609619140625,111.1826171875
236,1,0,0,0,1,0,0,688.4552612304688,19.38792610168457,61.33155822753906
237,1,1,0,0,1,0,0,538.3151245117188,34.50571060180664,88.77054595947266
238,0,0,0,0,1,0,0,960.9293212890625,32.18743896484375,126.55549621582031
239,0,1,0,0,1,0,0,98.76564025878906,8.245466232299805,23.828022003173828
240,1,2,0,0,1,0,0,151.18072509765625,6.720312118530273,25.752607345581055
241,1,0,0,0,1,0,0,4291.65283203125,90.83755493164062,215.57814025878906
242,0,1,0,0,1,0,0,412.4468078613281,30.943143844604492,94.83477020263672
243,0,1,0,0,1,0,0,687.1820678710938,70.75545501708984,129.8578643798828
244,1,0,0,0,1,0,0,3676.098876953125,81.6192626953125,184.80043029785156
245,0,1,0,0,1,0,0,242.3701934814453,17.738988876342773,116.91332244873047
246,0,2,0,0,1,0,0,951.9379272460938,31.196338653564453,89.92676544189453
247,1,2,0,0,1,0,0,368.7187805175781,22.397586822509766,61.71354675292969
248,0,1,0,0,1,0,0,668.8502807617188,26.735376358032227,79.78229522705078
249,1,2,0,0,1,0,0,87.59210968017578,7.155235290527344,34.27474594116211
250,1,1,0,0,1,0,0,57.71543884277344,2.888097047805786,12.052250862121582
251,0,0,0,0,1,0,0,921.170654296875,26.397512435913086,59.46308517456055
252,1,1,0,0,1,0,0,227.8359375,29.024612426757812,65.49198913574219
253,1,1,0,0,1,0,0,129.86622619628906,14.185809135437012,47.17667007446289
254,1,0,0,0,1,0,0,3681.4384765625,70.98446655273438,185.06741333007812
255,1,2,0,0,1,0,0,21.0057315826416,3.093156337738037,6.003724098205566
256,0,0,0,0,1,0,0,22.680952072143555,2.4181411266326904,4.152166366577148
257,0,2,0,0,1,0,0,1589.2440185546875,59.43080520629883,164.0933380126953
258,0,1,0,0,1,0,0,236.04086303710938,22.714872360229492,84.78438568115234
259,1,0,0,0,1,0,0,304.1698913574219,7.2847981452941895,18.10470199584961
260,0,0,0,0,1,0,0,183.28651428222656,17.016239166259766,55.160194396972656
261,0,0,0,0,1,0,0,128.57754516601562,7.696292400360107,34.816436767578125
262,1,0,0,0,1,0,0,195.33274841308594,1.4239027500152588,10.762124061584473
263,0,0,0,0,1,0,0,705.4755249023438,4.866353511810303,36.21409606933594
264,1,2,0,0,1,0,0,497.26043701171875,9.78416919708252,59.92490005493164
265,0,2,0,0,1,0,0,930.3087768554688,16.644350051879883,50.77635955810547
266,0,0,0,0,1,0,0,2487.916259765625,38.2378044128418,174.835693359375
267,1,1,0,0,1,0,0,246.68540954589844,28.146055221557617,159.53407287597656
268,1,1,0,0,1,0,0,200.56861877441406,14.841623306274414,41.04003143310547
269,0,2,0,0,1,0,0,73.658935546875,1.4871771335601807,7.443383693695068
270,1,2,0,0,1,0,0,879.4364624023438,51.6701545715332,128.99070739746094
271,0,1,0,0,1,0,0,92.36041259765625,8.429203033447266,28.558515548706055
272,1,1,0,0,1,0,0,268.1988525390625,21.85086441040039,119.48176574707031
273,0,0,0,0,1,0,0,2285.807373046875,45.78834915161133,115.2306900024414
274,1,0,0,0,1,0,0,3231.578125,61.481319427490234,162.5743865966797
275,0,2,0,0,1,0,0,549.7810668945312,16.059484481811523,49.54349899291992
276,0,0,0,0,1,0,0,773.7836303710938,13.35506820678711,39.62950134277344
277,0,1,0,0,1,0,0,30.09004020690918,2.3426551818847656,14.815023422241211
278,1,2,0,0,1,0,0,358.5649719238281,31.52314567565918,87.23452758789062
279,1,0,0,0,1,0,0,2484.921630859375,48.53878402709961,125.24156951904297
280,1,2,0,0,1,0,0,489.0132141113281,17.985990524291992,107.38945770263672
281,0,0,0,0,1,0,0,846.3358764648438,11.662419319152832,43.25711441040039
282,0,2,0,0,1,0,0,436.66729736328125,13.780698776245117,72.96449279785156
283,1,1,0,0,1,0,0,52.36888122558594,5.790686130523682,31.227575302124023
284,0,0,0,0,1,0,0,41.670772552490234,3.9227144718170166,13.832468032836914
285,1,0,0,0,1,0,0,589.323486328125,8.136805534362793,30.46166229248047
286,0,0,0,0,1,0,0,606.7841796875,17.19343376159668,44.92007064819336
287,0,0,0,0,1,0,0,2620.250732421875,60.62986373901367,131.95286560058594
288,1,2,0,0,1,0,0,70.05288696289062,5.210094451904297,14.393355369567871
289,0,2,0,0,1,0,0,227.00149536132812,7.438867568969727,40.75814437866211
290,0,2,0,0,1,0,0,392.4667663574219,14.343177795410156,40.57061004638672
291,1,2,0,0,1,0,0,929.8023071289062,48.453304290771484,154.46554565429688
292,1,0,0,0,1,0,0,1214.79052734375,11.954326629638672,61.735015869140625
293,1,1,0,0,1,0,0,274.0931701660156,36.753662109375,84.9467544555664
294,0,2,0,0,1,0,0,1351.860595703125,14.185042381286621,64.43186950683594
295,0,2,0,0,1,0,0,1296.3988037109375,43.89797592163086,120.34154510498047
296,1,2,0,0,1,0,0,30.92623519897461,1.976726770401001,5.8734917640686035
297,1,2,0,0,1,0,0,191.2485809326172,10.02784252166748,65.24890899658203
298,1,2,0,0,1,0,0,19.804677963256836,1.4890505075454712,4.035001277923584
299,1,2,0,0,1,0,0,816.1035766601562,56.4991340637207,192.31300354003906
