heldout,method,representation,pair_count,auroc,auprc,f1,balanced_accuracy,aug_mean,aug_pos_mean
TS0330B,racdiff,fusion_absolute,3,0.9886363636363636,0.9570556758056759,0.20512820512820515,0.6161616161616162,41.666666666666664,21.0
TS0330B,racdiff,fusion_shape,3,0.9671717171717171,0.858294252044252,0.7223075610172384,0.888888888888889,41.666666666666664,21.0
TS0330B,racdiff,pressure_absolute,3,0.4128787878787879,0.18369867314751387,0.10884353741496595,0.5,41.666666666666664,21.0
TS0330B,racdiff,pressure_shape,3,0.22095959595959594,0.14792626644131798,0.15272077823377408,0.35227272727272724,41.666666666666664,21.0
TS0330B,racdiff,temperature,3,1.0,1.0,0.6304312970979637,0.8535353535353535,41.666666666666664,21.0
TS0330B,real_only,fusion_absolute,3,0.9545454545454546,0.8487376049876051,0.2318840579710145,0.6313131313131314,0.0,0.0
TS0330B,real_only,fusion_shape,3,0.952020202020202,0.8079556064850183,0.6695906432748537,0.8636363636363636,0.0,0.0
TS0330B,real_only,pressure_absolute,3,0.7070707070707071,0.3223025431358764,0.26757369614512466,0.5637626262626263,0.0,0.0
TS0330B,real_only,pressure_shape,3,0.3396464646464646,0.1677523935608171,0.19088482074752092,0.4046717171717171,0.0,0.0
TS0330B,real_only,temperature,3,1.0,1.0,0.5947722435078756,0.8333333333333334,0.0,0.0
TS0330C,classical_classmatched,fusion_absolute,3,1.0,1.0,0.4726708074534161,0.8222222222222223,53.0,23.666666666666668
TS0330C,classical_classmatched,fusion_shape,3,0.9222222222222222,0.44761904761904764,0.3444444444444444,0.8055555555555555,53.0,23.666666666666668
TS0330C,classical_classmatched,pressure_absolute,3,0.6333333333333334,0.21536867272161386,0.13398692810457513,0.5444444444444444,53.0,23.666666666666668
TS0330C,classical_classmatched,pressure_shape,3,0.6888888888888888,0.19537755273049387,0.20777777777777776,0.6222222222222222,53.0,23.666666666666668
TS0330C,classical_classmatched,temperature,3,1.0,1.0,0.35624355005159963,0.8166666666666668,53.0,23.666666666666668
TS0330C,racdiff,fusion_absolute,3,1.0,1.0,0.4768253968253968,0.8222222222222223,53.0,23.666666666666668
TS0330C,racdiff,fusion_shape,3,0.9814814814814815,0.8444444444444444,0.3444444444444444,0.8055555555555555,53.0,23.666666666666668
TS0330C,racdiff,pressure_absolute,3,0.5222222222222223,0.12231778570013863,0.13555555555555554,0.5611111111111111,53.0,23.666666666666668
TS0330C,racdiff,pressure_shape,3,0.5814814814814815,0.1578466268662347,0.1461988304093567,0.5166666666666666,53.0,23.666666666666668
TS0330C,racdiff,temperature,3,1.0,1.0,0.3509803921568628,0.811111111111111,53.0,23.666666666666668
TS0330C,real_only,fusion_absolute,3,1.0,1.0,0.45662337662337665,0.8000000000000002,0.0,0.0
TS0330C,real_only,fusion_shape,3,0.9370370370370371,0.5481481481481482,0.3302631578947368,0.7944444444444444,0.0,0.0
TS0330C,real_only,pressure_absolute,3,0.8962962962962964,0.5584656084656084,0.3474025974025974,0.7666666666666666,0.0,0.0
TS0330C,real_only,pressure_shape,3,0.6555555555555556,0.1630596255596255,0.20787545787545783,0.6222222222222222,0.0,0.0
TS0330C,real_only,temperature,3,1.0,1.0,0.34970760233918124,0.8111111111111112,0.0,0.0
TS0330D,classical_classmatched,fusion_absolute,3,0.942857142857143,0.9023097273097272,0.42265795206971674,0.6942857142857143,33.666666666666664,9.333333333333334
TS0330D,classical_classmatched,fusion_shape,3,0.8628571428571429,0.7209986772486773,0.5740740740740741,0.7723809523809524,33.666666666666664,9.333333333333334
TS0330D,classical_classmatched,pressure_absolute,3,0.6914285714285714,0.692588188842956,0.358974358974359,0.5,33.666666666666664,9.333333333333334
TS0330D,classical_classmatched,pressure_shape,3,0.4552380952380952,0.34605549862898605,0.30233368164402646,0.5247619047619048,33.666666666666664,9.333333333333334
TS0330D,classical_classmatched,temperature,3,1.0,1.0,0.6818459191456903,0.8666666666666667,33.666666666666664,9.333333333333334
TS0330D,racdiff,fusion_absolute,3,0.9314285714285715,0.8963718820861678,0.34259259259259256,0.6638095238095238,33.666666666666664,9.333333333333334
TS0330D,racdiff,fusion_shape,3,0.8876190476190476,0.7434807256235828,0.5987878787878788,0.8028571428571428,33.666666666666664,9.333333333333334
TS0330D,racdiff,pressure_absolute,3,0.5161904761904762,0.39533620141239717,0.2678062678062678,0.5476190476190476,33.666666666666664,9.333333333333334
TS0330D,racdiff,pressure_shape,3,0.48190476190476184,0.29380071731092783,0.3204585537918871,0.5685714285714285,33.666666666666664,9.333333333333334
TS0330D,racdiff,temperature,3,1.0,1.0,0.6799574694311535,0.8666666666666667,33.666666666666664,9.333333333333334
TS0330D,real_only,fusion_absolute,3,0.9123809523809524,0.8303310724363356,0.49673202614379086,0.7457142857142857,0.0,0.0
TS0330D,real_only,fusion_shape,3,0.8857142857142857,0.7538991101491103,0.5888888888888889,0.7895238095238094,0.0,0.0
TS0330D,real_only,pressure_absolute,3,0.5961904761904762,0.5683528956204712,0.39766081871345027,0.5676190476190476,0.0,0.0
TS0330D,real_only,pressure_shape,3,0.6571428571428571,0.5103782693129043,0.3653846153846154,0.5857142857142857,0.0,0.0
TS0330D,real_only,temperature,3,1.0,1.0,0.6954911433172303,0.8733333333333334,0.0,0.0
TS0330E,classical_classmatched,fusion_absolute,3,1.0,1.0,0.7367731367731368,0.8016304347826088,17.666666666666668,0.6666666666666666
TS0330E,classical_classmatched,fusion_shape,3,0.9565217391304349,0.9510095710318233,0.81123451711687,0.8392210144927535,17.666666666666668,0.6666666666666666
TS0330E,classical_classmatched,pressure_absolute,3,0.42934782608695654,0.4699417017447571,0.28917748917748914,0.45063405797101447,17.666666666666668,0.6666666666666666
TS0330E,classical_classmatched,pressure_shape,3,0.5045289855072465,0.6027511227424887,0.5259909031838856,0.5122282608695653,17.666666666666668,0.6666666666666666
TS0330E,classical_classmatched,temperature,3,1.0,1.0,0.8922223659065764,0.9130434782608695,17.666666666666668,0.6666666666666666
TS0330E,racdiff,fusion_absolute,3,1.0,1.0,0.6680033416875522,0.7590579710144927,17.666666666666668,0.6666666666666666
TS0330E,racdiff,fusion_shape,3,0.9574275362318841,0.9509637834860358,0.822999222999223,0.8496376811594203,17.666666666666668,0.6666666666666666
TS0330E,racdiff,pressure_absolute,3,0.37952898550724634,0.42183311920222105,0.3508021390374331,0.4583333333333333,17.666666666666668,0.6666666666666666
TS0330E,racdiff,pressure_shape,3,0.4945652173913044,0.601241708983289,0.49023199023199027,0.48007246376811596,17.666666666666668,0.6666666666666666
TS0330E,racdiff,temperature,3,1.0,1.0,0.884635832004253,0.9057971014492754,17.666666666666668,0.6666666666666666
TS0330E,real_only,fusion_absolute,3,0.9990942028985508,0.9987745098039217,0.5803921568627451,0.7608695652173912,0.0,0.0
TS0330E,real_only,fusion_shape,3,0.9592391304347826,0.9533142108364632,0.818958818958819,0.8464673913043478,0.0,0.0
TS0330E,real_only,pressure_absolute,3,0.875,0.8089216950882383,0.5020302694721299,0.6811594202898551,0.0,0.0
TS0330E,real_only,pressure_shape,3,0.45742753623188404,0.5495872914337977,0.47443656422379826,0.48913043478260865,0.0,0.0
TS0330E,real_only,temperature,3,1.0,1.0,0.8922223659065764,0.9130434782608695,0.0,0.0
TS0330F,classical_classmatched,fusion_absolute,3,0.9504132231404959,0.9348777469520503,0.4598290598290598,0.6969696969696969,32.333333333333336,12.333333333333334
TS0330F,classical_classmatched,fusion_shape,3,0.9297520661157024,0.9057676610706914,0.8449965493443754,0.8787878787878789,32.333333333333336,12.333333333333334
TS0330F,classical_classmatched,pressure_absolute,3,0.6790633608815427,0.7205789510822882,0.46341463414634143,0.45454545454545453,32.333333333333336,12.333333333333334
TS0330F,classical_classmatched,pressure_shape,3,0.4903581267217631,0.48534469901094135,0.3645224171539961,0.5303030303030303,32.333333333333336,12.333333333333334
TS0330F,classical_classmatched,temperature,3,1.0,1.0,0.9282539682539683,0.9469696969696971,32.333333333333336,12.333333333333334
TS0330F,racdiff,fusion_absolute,3,0.9573002754820936,0.9412490287490288,0.4249084249084249,0.6818181818181818,32.333333333333336,12.333333333333334
TS0330F,racdiff,fusion_shape,3,0.9710743801652892,0.9607107875289693,0.8661782661782662,0.9015151515151515,32.333333333333336,12.333333333333334
TS0330F,racdiff,pressure_absolute,3,0.6239669421487603,0.6663449417536084,0.43960511033681765,0.5,32.333333333333336,12.333333333333334
TS0330F,racdiff,pressure_shape,3,0.6212121212121212,0.5776830277991079,0.4882915173237754,0.5909090909090908,32.333333333333336,12.333333333333334
TS0330F,racdiff,temperature,3,1.0,1.0,0.9441269841269841,0.9621212121212123,32.333333333333336,12.333333333333334
TS0330F,real_only,fusion_absolute,3,0.9586776859504132,0.9405912643141745,0.5459401709401709,0.7272727272727272,0.0,0.0
TS0330F,real_only,fusion_shape,3,0.9421487603305785,0.9206371910917365,0.8557319223985891,0.8939393939393939,0.0,0.0
TS0330F,real_only,pressure_absolute,3,0.768595041322314,0.7882620607963093,0.46219512195121953,0.4621212121212121,0.0,0.0
TS0330F,real_only,pressure_shape,3,0.6969696969696969,0.6295194903448492,0.40740740740740744,0.6287878787878788,0.0,0.0
TS0330F,real_only,temperature,3,1.0,1.0,0.9282539682539683,0.9469696969696971,0.0,0.0
TS0330G,classical_classmatched,fusion_absolute,3,0.7757936507936508,0.7960802062760588,0.5228011204481793,0.6617063492063492,30.0,2.0
TS0330G,classical_classmatched,fusion_shape,3,0.7956349206349206,0.7604116006880984,0.5601553290340475,0.7390873015873015,30.0,2.0
TS0330G,classical_classmatched,pressure_absolute,3,0.5079365079365079,0.2405537688432425,0.3684210526315789,0.5,30.0,2.0
TS0330G,classical_classmatched,pressure_shape,3,0.5496031746031745,0.2701684320546694,0.34957097860323666,0.5198412698412699,30.0,2.0
TS0330G,classical_classmatched,temperature,3,0.7142857142857143,0.7751152073732719,0.6796906796906796,0.7946428571428572,30.0,2.0
TS0330G,racdiff,fusion_absolute,3,1.0,0.9999999999999997,0.5305338783599653,0.7351190476190476,30.0,2.0
TS0330G,racdiff,fusion_shape,3,0.9742063492063492,0.9280732495018209,0.6714300192561063,0.8273809523809524,30.0,2.0
TS0330G,racdiff,pressure_absolute,3,0.47222222222222215,0.2316954170252056,0.24561403508771928,0.5,30.0,2.0
TS0330G,racdiff,pressure_shape,3,0.628968253968254,0.31918778571688017,0.42026029526029524,0.5982142857142857,30.0,2.0
TS0330G,racdiff,temperature,3,0.9880952380952381,0.9698412698412696,0.7925925925925926,0.9166666666666669,30.0,2.0
TS0330G,real_only,fusion_absolute,3,0.746031746031746,0.781468746307456,0.2186571598336304,0.4702380952380952,0.0,0.0
TS0330G,real_only,fusion_shape,3,0.7579365079365079,0.7335329651573891,0.4992481203007519,0.6984126984126985,0.0,0.0
TS0330G,real_only,pressure_absolute,3,0.9583333333333334,0.9215352807789782,0.39734299516908217,0.701388888888889,0.0,0.0
TS0330G,real_only,pressure_shape,3,0.5456349206349206,0.2936625916184307,0.35919540229885055,0.5625,0.0,0.0
TS0330G,real_only,temperature,3,0.7777777777777778,0.7974690951649478,0.6796906796906796,0.7946428571428572,0.0,0.0
TS0330H,classical_classmatched,fusion_absolute,3,0.9814814814814815,0.9811028114949684,0.5718390804597702,0.7296296296296297,56.666666666666664,25.333333333333332
TS0330H,classical_classmatched,fusion_shape,3,0.9506172839506172,0.954569561367807,0.6271493212669683,0.7555555555555555,56.666666666666664,25.333333333333332
TS0330H,classical_classmatched,pressure_absolute,3,0.491358024691358,0.48015003862359446,0.48266283524904213,0.47592592592592586,56.666666666666664,25.333333333333332
TS0330H,classical_classmatched,pressure_shape,3,0.5086419753086421,0.530501771350294,0.38847117794486213,0.5370370370370371,56.666666666666664,25.333333333333332
TS0330H,classical_classmatched,temperature,3,1.0,1.0,0.812962962962963,0.8444444444444444,56.666666666666664,25.333333333333332
TS0330H,racdiff,fusion_absolute,3,0.9950617283950617,0.9948148148148149,0.603641456582633,0.774074074074074,56.666666666666664,25.333333333333332
TS0330H,racdiff,fusion_shape,3,0.9604938271604938,0.9469987679636803,0.5641025641025641,0.7444444444444445,56.666666666666664,25.333333333333332
TS0330H,racdiff,pressure_absolute,3,0.5160493827160494,0.5111445881527085,0.625,0.5,56.666666666666664,25.333333333333332
TS0330H,racdiff,pressure_shape,3,0.5864197530864198,0.598414873958382,0.4641192917054986,0.6166666666666667,56.666666666666664,25.333333333333332
TS0330H,racdiff,temperature,3,1.0,1.0,0.782051282051282,0.8222222222222223,56.666666666666664,25.333333333333332
TS0330H,real_only,fusion_absolute,3,0.9765432098765432,0.9771855564838021,0.5301724137931035,0.6555555555555556,0.0,0.0
TS0330H,real_only,fusion_shape,3,0.9518518518518518,0.9554729934269576,0.8450142450142449,0.8666666666666667,0.0,0.0
TS0330H,real_only,pressure_absolute,3,0.9679012345679013,0.9669826343820151,0.48611111111111116,0.611111111111111,0.0,0.0
TS0330H,real_only,pressure_shape,3,0.7098765432098766,0.6703494087810418,0.504394861392833,0.6833333333333332,0.0,0.0
TS0330H,real_only,temperature,3,1.0,1.0,0.782051282051282,0.8222222222222223,0.0,0.0
