experiment_id,aging,stage,stage_name,t_start_s,t_end_s,rapid_anchor_s,peak_anchor_s,mechanical_modality,raw_mechanical_filename_label
A2,fresh,0,pre_rapid,2049.0,2304.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,2113.0,2368.0,2419.0,2427.0,force,force
A2,fresh,0,pre_rapid,2177.0,2432.0,2419.0,2427.0,force,force
A2,fresh,1,rapid_peak,2241.0,2496.0,2419.0,2427.0,force,force
A2,fresh,1,rapid_peak,2305.0,2560.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,2369.0,2624.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,2433.0,2688.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,2497.0,2752.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,2561.0,2816.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,2625.0,2880.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,2689.0,2944.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,2753.0,3008.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,2817.0,3072.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,2881.0,3136.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,2945.0,3200.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,3009.0,3264.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,3073.0,3328.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,3137.0,3392.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,3201.0,3456.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,3265.0,3520.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,3329.0,3584.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,3393.0,3648.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,3457.0,3712.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,3521.0,3776.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,3585.0,3840.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,3649.0,3904.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,3713.0,3968.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,3777.0,4032.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,3841.0,4096.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,3905.0,4160.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,3969.0,4224.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,4033.0,4288.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,4097.0,4352.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,4161.0,4416.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,4225.0,4480.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,4289.0,4544.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,4353.0,4608.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,4417.0,4672.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,4481.0,4736.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,4545.0,4800.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,4609.0,4864.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,4673.0,4928.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,4737.0,4992.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,4801.0,5056.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,4865.0,5120.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,4929.0,5184.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,4993.0,5248.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,5057.0,5312.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,5121.0,5376.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,5185.0,5440.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,5249.0,5504.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,5313.0,5568.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,5377.0,5632.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,5441.0,5696.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,5505.0,5760.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,5569.0,5824.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,5633.0,5888.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,5697.0,5952.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,5761.0,6016.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,5825.0,6080.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,5889.0,6144.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,5953.0,6208.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,6017.0,6272.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,6081.0,6336.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,6145.0,6400.0,2419.0,2427.0,force,force
A2,fresh,2,post_peak,6209.0,6464.0,2419.0,2427.0,force,force
D1,aged,0,pre_rapid,1.0,256.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,65.0,320.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,129.0,384.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,193.0,448.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,257.0,512.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,321.0,576.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,385.0,640.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,449.0,704.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,513.0,768.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,577.0,832.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,641.0,896.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,705.0,960.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,769.0,1024.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,833.0,1088.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,897.0,1152.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,961.0,1216.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,1025.0,1280.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,1089.0,1344.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,1153.0,1408.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,1217.0,1472.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,1281.0,1536.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,1345.0,1600.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,1409.0,1664.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,1473.0,1728.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,1537.0,1792.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,1601.0,1856.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,1665.0,1920.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,1729.0,1984.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,1793.0,2048.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,1857.0,2112.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,1921.0,2176.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,1985.0,2240.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,2049.0,2304.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,2113.0,2368.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,2177.0,2432.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,2241.0,2496.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,2305.0,2560.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,2369.0,2624.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,2433.0,2688.0,2728.0,2741.0,force,pressure
D1,aged,0,pre_rapid,2497.0,2752.0,2728.0,2741.0,force,pressure
D1,aged,1,rapid_peak,2561.0,2816.0,2728.0,2741.0,force,pressure
D1,aged,1,rapid_peak,2625.0,2880.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,2689.0,2944.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,2753.0,3008.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,2817.0,3072.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,2881.0,3136.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,2945.0,3200.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,3009.0,3264.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,3073.0,3328.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,3137.0,3392.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,3201.0,3456.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,3265.0,3520.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,3329.0,3584.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,3393.0,3648.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,3457.0,3712.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,3521.0,3776.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,3585.0,3840.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,3649.0,3904.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,3713.0,3968.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,3777.0,4032.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,3841.0,4096.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,3905.0,4160.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,3969.0,4224.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,4033.0,4288.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,4097.0,4352.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,4161.0,4416.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,4225.0,4480.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,4289.0,4544.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,4353.0,4608.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,4417.0,4672.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,4481.0,4736.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,4545.0,4800.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,4609.0,4864.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,4673.0,4928.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,4737.0,4992.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,4801.0,5056.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,4865.0,5120.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,4929.0,5184.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,4993.0,5248.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,5057.0,5312.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,5121.0,5376.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,5185.0,5440.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,5249.0,5504.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,5313.0,5568.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,5377.0,5632.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,5441.0,5696.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,5505.0,5760.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,5569.0,5824.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,5633.0,5888.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,5697.0,5952.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,5761.0,6016.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,5825.0,6080.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,5889.0,6144.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,5953.0,6208.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,6017.0,6272.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,6081.0,6336.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,6145.0,6400.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,6209.0,6464.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,6273.0,6528.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,6337.0,6592.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,6401.0,6656.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,6465.0,6720.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,6529.0,6784.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,6593.0,6848.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,6657.0,6912.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,6721.0,6976.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,6785.0,7040.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,6849.0,7104.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,6913.0,7168.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,6977.0,7232.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,7041.0,7296.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,7105.0,7360.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,7169.0,7424.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,7233.0,7488.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,7297.0,7552.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,7361.0,7616.0,2728.0,2741.0,force,pressure
D1,aged,2,post_peak,7425.0,7680.0,2728.0,2741.0,force,pressure
